State,Handgun,Long Gun,Other,Date
Rhode Island,1263,889,96,Nov-23
South Carolina,12011,10707,930,Nov-23
South Dakota,2243,4598,207,Nov-23
Tennessee,31142,26933,2302,Nov-23
Texas,65005,47300,4838,Nov-23
Utah,6583,7156,831,Nov-23
Vermont,1558,1891,105,Nov-23
Virgin Islands,60,6,0,Nov-23
Virginia,26748,22975,3724,Nov-23
Washington,18576,10724,826,Nov-23
West Virginia,5878,10243,322,Nov-23
Wisconsin,17232,18894,1055,Nov-23
Wyoming,2476,2781,230,Nov-23
Alabama,17221,15371,1231,Oct-23
Alaska,3104,3166,370,Oct-23
Arizona,18017,11057,1662,Oct-23
Arkansas,6621,8430,530,Oct-23
California,44691,25644,5695,Oct-23
Colorado,14619,11765,1413,Oct-23
Connecticut,5388,2316,303,Oct-23
Delaware,1907,1337,88,Oct-23
District of Columbia,148,3,0,Oct-23
Florida,66260,30776,5073,Oct-23
Georgia,16975,13026,1006,Oct-23
Guam,114,68,15,Oct-23
Hawaii,0,0,0,Oct-23
Idaho,4967,6189,530,Oct-23
Illinois,23884,12962,1062,Oct-23
Indiana,18806,14941,1530,Oct-23
Iowa,2645,3829,201,Oct-23
Kansas,5926,6514,628,Oct-23
Kentucky,10245,10817,601,Oct-23
Louisiana,9412,11154,732,Oct-23
Maine,5276,6597,328,Oct-23
Mariana Islands,8,6,0,Oct-23
Maryland,7564,7256,151,Oct-23
Massachusetts,5507,4068,2012,Oct-23
Michigan,20605,20877,1770,Oct-23
Minnesota,9279,16510,858,Oct-23
Mississippi,7124,7933,452,Oct-23
Missouri,17727,19607,1705,Oct-23
Montana,3699,6094,379,Oct-23
Nebraska,150,2379,25,Oct-23
Nevada,5164,2761,359,Oct-23
New Hampshire,7101,4094,446,Oct-23
New Jersey,6581,4999,884,Oct-23
New Mexico,6002,4579,544,Oct-23
New York,11245,18501,1163,Oct-23
North Carolina,23104,14785,1208,Oct-23
North Dakota,1777,3915,158,Oct-23
Ohio,23006,18628,1823,Oct-23
Oklahoma,11063,10500,1262,Oct-23
Oregon,12137,10696,1470,Oct-23
Pennsylvania,41953,25691,28,Oct-23
Puerto Rico,3318,315,54,Oct-23
Rhode Island,1195,857,98,Oct-23
South Carolina,9710,8128,777,Oct-23
South Dakota,1908,4855,139,Oct-23
Tennessee,26795,20489,2008,Oct-23
Texas,57211,39291,4198,Oct-23
Utah,4646,5155,700,Oct-23
Vermont,1358,1948,117,Oct-23
Virgin Islands,70,7,0,Oct-23
Virginia,23364,18557,3602,Oct-23
Washington,16214,9637,798,Oct-23
West Virginia,4880,7118,253,Oct-23
Wisconsin,15520,17612,957,Oct-23
Wyoming,1975,2465,178,Oct-23
Alabama,15421,12848,1156,Sep-23
Alaska,2429,2543,262,Sep-23
Arizona,14398,8239,1575,Sep-23
Arkansas,5645,6108,437,Sep-23
California,33792,20548,4295,Sep-23
Colorado,16429,12217,1475,Sep-23
Connecticut,4723,1797,350,Sep-23
Delaware,1608,1039,76,Sep-23
District of Columbia,202,15,0,Sep-23
Florida,51223,20945,4528,Sep-23
Georgia,14264,9395,930,Sep-23
Guam,140,77,13,Sep-23
Hawaii,0,0,0,Sep-23
Idaho,4475,5422,451,Sep-23
Illinois,19675,10357,786,Sep-23
Indiana,16104,11963,1480,Sep-23
Iowa,2027,2936,123,Sep-23
Kansas,4738,5289,627,Sep-23
Kentucky,8369,7610,472,Sep-23
Louisiana,9390,10164,746,Sep-23
Maine,3096,4646,303,Sep-23
Mariana Islands,6,9,0,Sep-23
Maryland,6291,5594,105,Sep-23
Massachusetts,4306,2586,1066,Sep-23
Michigan,16471,16313,1647,Sep-23
Minnesota,8341,14133,827,Sep-23
Mississippi,6519,6247,402,Sep-23
Missouri,15275,14310,1627,Sep-23
Montana,3871,5447,334,Sep-23
Nebraska,112,1625,17,Sep-23
Nevada,3967,2074,327,Sep-23
New Hampshire,4966,3106,443,Sep-23
New Jersey,6157,3372,835,Sep-23
New Mexico,5733,3873,503,Sep-23
New York,10511,14257,1318,Sep-23
North Carolina,20144,11064,1167,Sep-23
North Dakota,1508,3088,122,Sep-23
Ohio,18621,14068,1400,Sep-23
Oklahoma,9595,8238,1155,Sep-23
Oregon,11690,9902,1684,Sep-23
Pennsylvania,35055,19948,26,Sep-23
Puerto Rico,3458,332,41,Sep-23
Rhode Island,923,536,77,Sep-23
South Carolina,8332,6338,820,Sep-23
South Dakota,1512,3308,117,Sep-23
Tennessee,22481,15142,1597,Sep-23
Texas,46450,35984,3761,Sep-23
Utah,3894,4299,664,Sep-23
Vermont,1212,1690,96,Sep-23
Virgin Islands,42,2,0,Sep-23
Virginia,20489,14552,3110,Sep-23
Washington,13141,8428,1011,Sep-23
West Virginia,4020,5183,252,Sep-23
Wisconsin,12987,14352,847,Sep-23
Wyoming,1902,2393,167,Sep-23
Alabama,16323,12014,1243,Aug-23
Alaska,2567,2677,287,Aug-23
Arizona,14352,7957,1594,Aug-23
Arkansas,5821,5335,469,Aug-23
California,32817,22053,4091,Aug-23
Colorado,16006,10591,1453,Aug-23
Connecticut,4681,1728,265,Aug-23
Delaware,1558,1000,93,Aug-23
District of Columbia,239,8,1,Aug-23
Florida,55034,19438,5008,Aug-23
Georgia,14968,8637,999,Aug-23
Guam,196,92,20,Aug-23
Hawaii,0,0,0,Aug-23
Idaho,4449,4600,543,Aug-23
Illinois,20241,10349,811,Aug-23
Indiana,16646,10978,1549,Aug-23
Iowa,1976,2421,174,Aug-23
Kansas,5147,4824,601,Aug-23
Kentucky,8475,7034,552,Aug-23
Louisiana,8956,7249,774,Aug-23
Maine,3111,3538,292,Aug-23
Mariana Islands,20,13,1,Aug-23
Maryland,8144,4771,108,Aug-23
Massachusetts,4913,2844,1240,Aug-23
Michigan,16899,13482,1661,Aug-23
Minnesota,8375,10778,856,Aug-23
Mississippi,8406,7693,490,Aug-23
Missouri,16188,13538,1729,Aug-23
Montana,4109,4341,308,Aug-23
Nebraska,108,1466,15,Aug-23
Nevada,4365,2014,364,Aug-23
New Hampshire,4885,2878,441,Aug-23
New Jersey,6360,3102,869,Aug-23
New Mexico,5602,3547,619,Aug-23
New York,10576,11456,1003,Aug-23
North Carolina,21623,10674,1307,Aug-23
North Dakota,1614,2506,144,Aug-23
Ohio,18488,12634,1424,Aug-23
Oklahoma,9803,7584,1177,Aug-23
Oregon,11431,8386,1592,Aug-23
Pennsylvania,35397,18299,28,Aug-23
Puerto Rico,3826,378,45,Aug-23
Rhode Island,919,599,80,Aug-23
South Carolina,8554,5515,942,Aug-23
South Dakota,1633,2517,130,Aug-23
Tennessee,23835,15229,1630,Aug-23
Texas,47559,30913,3810,Aug-23
Utah,3930,3634,672,Aug-23
Vermont,1189,1467,79,Aug-23
Virgin Islands,35,7,0,Aug-23
Virginia,20538,13005,3167,Aug-23
Washington,13987,7348,987,Aug-23
West Virginia,4078,4451,273,Aug-23
Wisconsin,12464,12008,830,Aug-23
Wyoming,1980,2008,177,Aug-23
Alabama,15324,9081,1285,Jul-23
Alaska,2644,2149,280,Jul-23
Arizona,14812,6957,1568,Jul-23
Arkansas,5552,4050,433,Jul-23
California,30198,18567,3953,Jul-23
Colorado,15430,9647,1422,Jul-23
Connecticut,4347,1494,379,Jul-23
Delaware,1740,772,83,Jul-23
District of Columbia,237,9,1,Jul-23
